MCI,MANCHIRYAL,3,"MAIN RD, MANCHERIAL. PH : 08736 - 254445, ADILABAD DIST.,TELANGANA"
RDM,RAMAGUNDAM,3,"RAMAGUNDAM, KARIMNAGAR DIST. PH : 08728 - 255237,TELANGANA"
WL,WARANGAL,3,"WARANGAL STATION RD, ENQUIRY NO. 0870-2426232, WARANGAL.,TELANGANA"
KMT,KHAMMAM,3,"RAILWAY STATION RD, PHONE: 08742-224541, KHAMMAM 507001,TELANGANA"
BZA,VIJAYAWADA JUNCTION,10,"TEL: 0866-2576796, STATION ROAD, NEAR NH9 UNDERPASS VIJAYAWADA-520001, KRISHNA DISTRICT,ANDHRA PRADESH"
TEL,TENALI JUNCTION,5,"JN POINT BZA/GNT/GDR/RAL, TEL: 08644-227834, 220086, PRAKASAM ROAD, CHENCHUPET, TENALI, 522201, GUNTUR DISTRICT,ANDHRA PRADESH"
CLX,CHIRALA,4,"GOODS SHED RD, CHIRALA, PRAKASAM DISTRICT,ANDHRA PRADESH"
OGL,ONGOLE,3,"TEL: 08592-280202, VENKAIAH SWAMY NAGAR, STATION ROAD, ONGOLE, PRAKASAM DISTRICT,ANDHRA PRADESH"
NLR,NELLORE,4,"RAILWAY STATION RD, SANTHAPET, TEL: 0861-234866, NELLORE, SPSR DISDTRICT,ANDHRA PRADESH"
GDR,GUDUR JUNCTION,3,"JN. PT. TEL/MAS/RU KUMMARI ST, PH : 08624 - 251503, GUDUR, SPSR DISTRICT,ANDHRA PRADESH"
MAS,CHENNAI CENTRAL,12,"KANNAPPAR THIDAL, STATION RD, PERIYAMET, CHENNAI CENTRAL, TAMIL NADU 600003,TAMIL NADU"
KPD,KATPADI JUNCTION,5,"JUNCTION POINT AJJ/PAK/VM/JTJ PH NO: 0416-2642628, NH-234, CHITTOR HI-ROAD, KATPADI, VELLORE 632007,TAMIL NADU"
JTJ,JOLARPETTAI JUNCTION,5,"PH NO.04179-241221, STATE HIGHWAY 18, JOLARPETTAI,TAMIL NADU"
SA,SALEM JUNCTION,6,"STATE HIGHWAY 188, SURAMANGALAM, SALEM,TAMIL NADU"
ED,ERODE JUNCTION,4,"EVN RD, ERODE PH.NO: 0424-2256111,TAMIL NADU"
TUP,TIRUPPUR,2,"SH 19, TIRUPPUR. PH:0421-2200450,TAMIL NADU"
CBE,COIMBATORE MAIN JUNCTION,6,"RAILWAY ROAD, LANKA CORNER, TEL: 0422 - 2301301, NEAR COLLECTORS OFFICE, COIMBATORE 641001,TAMIL NADU"
PGT,PALAKKAD JUNCTION,4,"R S ROAD, OLAVAKKODE, PALGHAT TEL: 0491 2555231,KERALA"
OTP,OTTAPPALAM,2,"RAILWAY STATION RD, OTTAPALAM,KERALA"
SRR,SHORANUR JUNCTION,7,"SHORANUR RING ROAD, SHORANUR PH.NO 0466-2222913,KERALA"
WKI,WADAKKANCHERY,2,"RAILWAY STATION RD, OPPOSITE NH 17, WADACKANCHERY,KERALA"
TCR,THRISSUR,4,"OPPOSITE KSRTC BUS STAND, THRISSUR TEL: 0487 2423150,KERALA"
IJK,IRINJALAKKUDA,2,"THAZHEKAD RD, KALLETUMKARA,KERALA"
CKI,CHALAKKUDY,3,"CHALAKUDI MALA RD, CHALAKUDI, PH: 0480- 2701368,KERALA"
AFK,ANGAMALY FOR KALADY,3,"ANGAMALY (ERNAKULAM), PHONE: 0484-2452340,KERALA"
AWY,ALUVA,3,"GOODSHED ROAD, ALUVA, ERNAKULAM DISTRICT, PH: 0484-2624141,KERALA"
ERN,ERNAKULAM TOWN,2,"XAVIER ARAKKAL ROAD NORTH ERANAKULAM, TEL: 0484 2395198,KERALA"
ERS,ERNAKULAM JUNCTION,6,"KARSHAKA ROAD, TEL: 0484- 2376131, KADAVANTHARA, ERNAKULAM 682016,KERALA"
SRTL,SHERTHALAI,3,"NH 47, CHERTHALA,PH: 0478- 2812500,KERALA"
ALLP,ALAPPUZHA,3,"NH 47, ALAPPUZHA, PH:0477-2253965,KERALA"
AMPA,AMBALAPPUZHA,1,"AMBALAPUZHA, PH 0477-2272620,KERALA"
HAD,HARIPPAD,2,"RAILWAY RD, HARIPAD 0479-2412714,KERALA"
KYJ,KAYAMKULAM JUNCTION,5,"0479-2442042,KERALA"
QLN,KOLLAM JUNCTION,6,"KOLLAM JUNCTION RAILWAY STATION, NH 544, KOLLAM 0474-2746194,KERALA"
TVC,THIRUVANANTHAPURAM CENTRAL,5,"TEL: 0471-2321622, OPP KSRTC BUS STAND,THAMPANOOR / POWER HOUSE ROAD, THIRUVANANTHAPURAM 695001,KERALA"
ADI,AHMEDABAD JUNCTION,10,"PEDESTRIANS OVERPASS, SARASPUR, AHMEDABAD,GUJARAT"
ND,NADIAD JUNCTION,4,"NADIAD RAILWAY STATION, R.T.PATEL RD, NADIAD,GUJARAT"
ANND,ANAND JUNCTION,6,"STATION RD, ANAND,GUJARAT"
BRC,VADODARA JUNCTION,7,"JN PT. GDA/ADI/ST, SAYAJIGUNJ, VADODARA 390005,GUJARAT"
BH,BHARUCH JUNCTION,5,"OLD NH 8, BHOLAV, BHARUCH,GUJARAT"
ST,SURAT,4,"STATION ROAD/LH ROAD TEL: 0261-2412670, SURAT 395001,GUJARAT"
NVS,NAVSARI,3,"TOWER RD, NAVSARI,GUJARAT"
BL,VALSAD,3,"STATE HIGHWAY 701, VALSAD,GUJARAT"
VAPI,VAPI,3,"ALIGHT HERE FOR DAMAN/SILVASSA, VAPI,GUJARAT"
DRD,DAHANU ROAD,5,"MAIN RD, MALYAN, DAHANU,MAHARASHTRA"
BSR,VASAI ROAD,7,"NEXT TO ST DEPOT,NAVGHAR, VASAI 401202,MAHARASHTRA"
BIRD,BHIWANDI ROAD,5,"KAMATGHAR, BHIWANDI,421302,MAHARASHTRA"
KYN,KALYAN JUNCTION,8,"JN. PT. - KJT/DIVA/MMR/BSR, OPP TO ST BUS DEPOT, KALYAN 421301,MAHARASHTRA"
KJT,KARJAT JUNCTION,4,"JN PT PUNE/PNVL/KYN,KACHERI ROAD ,KARJAT,MAHARASHTRA"
LNL,LONAVALA,3,"NH 4, MARKET RD, SIDDHARTH NAGAR, LONAVALA 410401,MAHARASHTRA"
SVJR,SHIVAJINAGAR,2,"NEAR MSRTC BUS STAND, TEL: 020-25536092, SHIVAJINAGAR, PUNE 411005,MAHARASHTRA"
PUNE,PUNE JUNCTION,6,"JN PT. DD/MRJ/KYN, HH PRINCE AGA KHAN ROAD,OPP TO HOTEL LE MERIDIEN, TEL: 020-26126575/020-26136666, PUNE 411001,MAHARASHTRA"
KOP,KOLHAPUR CSMT,3,"STATION ROAD, E WARD, SHAHUPURI, KOLHAPUR 416001,MAHARASHTRA"
MRJ,MIRAJ JUNCTION,6,"JN. PT. PUNE/DD/UBL/KOP/KWV, NEAR CITY POST OFFICE, STATION ROAD, TEL: 0233-2222081, MIRAJ 416410,MAHARASHTRA"
SLI,SANGLI,3,"COLLEGE CORNER,MIRAJ RD, SANGLI,MAHARASHTRA"
STR,SATARA,3,"KSHETRA MAHULI, SATARA, 415003,MAHARASHTRA"
JAT,JAMMU TAWI,3,"JAMMU CANTT, JAMMU 180002,JAMMU AND KASHMIR"
BBMN,BARI BRAHMAN,2,"INDUSTRIAL AREA, NH 1A , DISTT. SAMBA,JAMMU AND KASHMIR"
VJPJ,VIJAYPUR JAMMU,2,"RAILWAY ROAD VIJAYPUR, DISTT. SAMBA,JAMMU AND KASHMIR"
SMBX,SAMBA,2,"VILLAGE KALIBARI, DIST. SAMBA,JAMMU AND KASHMIR"
GHGL,GHAGWAL,2,"RAJPURA ROAD, GHAGWAL, DIST.SAMBA,JAMMU AND KASHMIR"
HRNR,HIRA NAGAR,2,"HIRANAGAR,JAMMU AND KASHMIR"
CKDL,CHAKDAYALA,2,"DAYALA CHAK, DISTT. KATHUA,JAMMU AND KASHMIR"
BDHY,BUDHI,2,"VILLAGE BARNOTI, DISTT. KATHUA,JAMMU AND KASHMIR"
KTHU,KATHUA,2,"GOVINDSAR, DISTT. KATHUA,JAMMU AND KASHMIR"
MDPB,MADHOPUR PUNJAB,2,"NH 1A, MADHOPUR,PUNJAB"
SJNP,SUJANPUR,3,"SUJANPUR,PUNJAB"
PTK,PATHANKOT JUNCTION,4,"NH 154 , PATHANKOT , NEAR ISBT,PUNJAB"
CHKB,CHAKKI BANK,3,"NH 44, PATHANKOT BY PASS,PUNJAB"
MRTL,MIRTHAL,2,"NATIONAL HIGHWAY 1A, MIRTHAL,PUNJAB"
MEX,MUKERIAN,3,"NATIONAL HIGHWAY 1A, MUKERIAN DISTT. HOSIHARPUR,PUNJAB"
DZA,DASUYA,2,"NATIONAL HIGHWAY 1A, DASUYA DISTT. HOSHIARPUR,PUNJAB"
TDO,TANDA URMAR,3,"NH 1A, URMAR TANDA,PUNJAB"
BPRS,BHOGPUR SIRWAL,2,"BHOGPUR, JALANDHAR.,PUNJAB"
JUC,JALANDHAR CITY JUNCTION,5,"GOBIND GARH, ARJUN NAGAR, JALANDHAR 144001,PUNJAB"
KXH,KAPURTHALA,2,"KAPURTHALA RD, KAPURTHALA,PUNJAB"
SQR,SULTANPUR LODI,2,"SULTANPUR LODHI, KAPURTHALA,PUNJAB"
LNK,LOHIAN KHAS JUNCTION,2,"MALSIAN RD,PUNJAB"
MXH,MAKHU,2,"MAKHU,PUNJAB"
MWX,MALLANWALA KHAS,2,"MALLANWALA,PUNJAB"
FZR,FIROZPUR CANTT. JUNCTION,6,"STATION ROAD NEAR MITTAL CHOWK, FIROZPUR CANTT 152001,PUNJAB"
KKP,KOT KAPURA JUNCTION,3,"STATE HIGHWAY 16, KOTKAPURA,PUNJAB"
GJUT,GANGSAR JAITU,3,"JAITU,PUNJAB"
BTI,BATHINDA JUNCTION,7,"KIKAR BAZAR RD, BATHINDA,PUNJAB"
MBY,MANDI DABWALI,2,"RAILWAY STATION RD, MEENA BAZAAR, MANDI DABWALI,HARYANA"
SGRA,SANGARIA,2,"MDR 105, SANGARIYA, DIST:- HANUMANGARH, 335063,RAJASTHAN"
HMH,HANUMANGARH JUNCTION,4,"STATION RD, HANUMANGARH,RAJASTHAN"
PGK,PILIBANGA,2,"MDR 103, PILIBANGA, DIST.- HANUMANGARH, 335803,RAJASTHAN"
SOG,SURATGARH JUNCTION,5,"SURATGARH HANUMANGARH RD, SURATGARH,RAJASTHAN"
LKS,LUNKARANSAR,1,"LUNKARANSAR,RAJASTHAN"
LGH,LALGARH JUNCTION,3,"DIST.- BIKANER, 331518,RAJASTHAN"
BKN,BIKANER JUNCTION,6,"SOG/MTD/RTGH JUNCTION POINT PH NO. 0151-2523131,2523132,2523134, BIKANER CITY,RAJASTHAN"
DSO,DESHNOKE,1,"NH 89, DESHNOK,RAJASTHAN"
NOK,NOKHA,2,"NOKHA MANDI RAILWAY STATION, STATE HIGHWAY 20, NOKHA,RAJASTHAN"
NGO,NAGAUR,2,"SH 19, NAGAUR,RAJASTHAN"
MDW,MARWAR MUNDWA,1,"MUNDWA,RAJASTHAN"
MTD,MERTA ROAD JUNCTION,4,"JUNCTION POINT - JP/BKN/JU, PHALODI,RAJASTHAN"
GOTN,GOTAN,3,"MDR 58, GOTAN,RAJASTHAN"
PPR,PIPAR ROAD JUNCTION,3,"STATE HIGHWAY 58,RAJASTHAN"
RKB,RAIKABAG PALACE JUNCTION,2,"JUNCTION POINT, PHALODI /LUNI/PIPAR ROAD, NH 65, JODHPUR,RAJASTHAN"
JU,JODHPUR JUNCTION,5,"STATION RD, RATANADA, JODHPUR,RAJASTHAN"
LUNI,LUNI JUNCTION,3,"STATE HIGHWAY 68, LUNI,RAJASTHAN"
PMY,PALI MARWAR,2,"NH 65, PALI,RAJASTHAN"
MJ,MARWAR JUNCTION,4,"STATE HIGHWAY 61, MARWAR JUNCTION,RAJASTHAN"
FA,FALNA,2,"STATE HIGHWAY 16, FALNA,RAJASTHAN"
ABR,ABU ROAD,3,"NEAR BUS STAND, SIROHI DIST,RAJASTHAN"
PNU,PALANPUR JUNCTION,5,"AMIR RD, PALANPUR,GUJARAT"
SID,SIDDHPUR,2,"STATE HIGHWAY 41,GUJARAT"
UJA,UNJHA,2,"SH 41, UNJHA,GUJARAT"
MSH,MAHESANA JUNCTION,6,"MEHSANA,GUJARAT"
SBC,KSR BENGALURU CITY JUNCTION,10,"GUBBI THOTADAPPA RD, M.G. RAILWAY COLONY, MAJESTIC, BENGALURU-560023,KARNATAKA"
HUP,HINDUPUR,4,"VASAVI DHARMASHALA RD, RAYALASEEMA REGION, LAKSHMIPURAM, HINDUPUR,ANDHRA PRADESH"
DMM,DHARMAVARAM JUNCTION,5,"RAILWAY STATION RD(JN PT KLU,PKD, SSPN,PAK), DHARMAVARAM,ANDHRA PRADESH"
ATP,ANANTAPUR,2,"SRINIVASA NAGAR ROAD, TEL: 08554-244444, ANANTAPUR,ANDHRA PRADESH"
GY,GOOTY JUNCTION,2,"JN POINTS PDL,DHNE/HX,RU/DMM,YNK/GTL, NH 7 ANANTAPUR DISTRICT,ANDHRA PRADESH"
GTL,GUNTAKAL JUNCTION,6,"JN POINT WADI/DHNE/BAY/GY/KLU,TEL: 08552-227131/32, GUNTAKAL.,ANDHRA PRADESH"
AD,ADONI,4,"ADONI TEL: 08512-252368,ANDHRA PRADESH"
MALM,MANTRALAYAM ROAD,3,"TEL: 08512-259830 ,OPP TO ADANI WILMAR LTD , TUNGABHADRA, KURNOOL DIST,ANDHRA PRADESH"
RC,RAICHUR JUNCTION,3,"JN PT GWD/GTL/WADI,AZAD NAGAR ,OPP TO RLY GARDEN, RAICHUR,KARNATAKA"
WADI,WADI JUNCTION,4,"NEAR MG SCHOOL(JN PT VKB/GTL/SUR), WADI,KARNATAKA"
GR,GULBARGA,4,"STATION ROAD, GULBARGA 585101,KARNATAKA"
SUR,SOLAPUR,5,"STATION ROAD, TEL - 0217-2317024, RAILWAY LINES, SOLAPUR 413001,MAHARASHTRA"
DD,DAUND JUNCTION,7,"JN PT. PUNE/MMR/SUR/BRMT/LNN, TEL: 02117-262381, RAILWAY HOSPITAL ROAD, NEW DAUND DIST. PUNE 413801,MAHARASHTRA"
ANG,AHMADNAGAR,2,"STATION ROAD, AHMEDNAGAR 414001,MAHARASHTRA"
BAP,BELAPUR,2,"SH44, BELAPUR, SHRIRAMPUR,MAHARASHTRA"
KPG,KOPARGAON,2,"NEAR SANJIVANI SUGAR FACTORY, KOPARGAON TEL: 02423-222268, KOPARGAON 423601,MAHARASHTRA"
MMR,MANMAD JUNCTION,6,"JN. PT. - AWB/DD/BSL/KYN,AHMED NAGAR, MANMAD 423104,MAHARASHTRA"
JL,JALGAON JUNCTION,4,"JN PT. ST/BSL/MMR, STATION RD, JALGAON 425001,MAHARASHTRA"
AN,AMALNER,2,"STATE HIGHWAY 14, AMALNER,MAHARASHTRA"
NDB,NANDURBAR,3,"SH5, NANDURBAR,MAHARASHTRA"
AKV,ANKLESHWAR JUNCTION,4,"STATION RD, ANKLESHWAR,GUJARAT"
MANI,MANI HALT,2,"MANI,BIHAR"
UDZ,UDAIPUR CITY,4,"UDAIPUR CITY RAILWAY STATION, NATIONAL HIGHWAY 8, JAWAHAR NAGAR, UDAIPUR,RAJASTHAN"
ZW,ZAWAR,2,"NH 8,RAJASTHAN"
JYM,JAI SAMAND ROAD,1,"MDR 11, DENGARI,RAJASTHAN"
DNRP,DUNGARPUR,2,"STATE HIGHWAY 10,RAJASTHAN"
HMT,HIMMATNAGAR,2,"STATION RD, HIMATNAGAR,GUJARAT"
SDGM,SARDARGRAM,2,"NATIONAL HIGHWAY 8, NAVA NARODA, AHMEDABAD,GUJARAT"
ASV,ASARVA JUNCTION,2,"NARODA RD, ASARWA, AHMEDABAD,GUJARAT"
MCA,MECHEDA,6,"MECHEDA , DIST - PURBA MEDINIPUR,WEST BENGAL"
PKU,PANSKURA JUNCTION,6,"PANSKURA STATION ROAD, PANSKURA,WEST BENGAL"
KGP,KHARAGPUR JUNCTION,10,"MALANCHA RD, KHARAGPUR, DIST: WEST MEDINIPUR,WEST BENGAL"
TATA,TATANAGAR JUNCTION,5,"STATION ROAD, JAMSHEDPUR, 91-657-2423026,JHARKHAND"
CKP,CHAKRADHARPUR,3,"CHAKRADHARPUR (WEST SINGHBHUM),JHARKHAND"
ROU,ROURKELA JUNCTION,5,"JN PT TATA/JSG/HTE/BRMP ,RING RD, ROURKELA,ODISHA"
GP,RAJGANGPUR,3,"RAJ GANPUR,ODISHA"
BMB,BAMRA,3,"SH 24, BAMRA PH : 06642-229268,ODISHA"
JSG,JHARSUGUDA JUNCTION,5,"JUNCTION POINT - ROU/SBP/BSP, SARBAHAL RD, JHARSUGUDA,ODISHA"
BRJN,BRAJRAJNAGAR,3,"RAMAPUR RD, BRAJRAJNAGAR,ODISHA"
BPH,BELPAHAR,2,"NATIONAL HIGHWAY 200, BELPAHAR,ODISHA"
RIG,RAIGARH,3,"SUBHASH RD, RAIGARH,CHHATTISGARH"
KHS,KHARSIA,3,"NATIONAL HIGHWAY 200,CHHATTISGARH"
BUA,BARADWAR,3,"JANJGIR-CHAMPA,CHHATTISGARH"
CPH,CHAMPA JUNCTION,3,"JN. PT - KRBA/BSP/JSG, NATIONAL HIGHWAY 200 (07819-245767), CHAMPA - 495671,CHHATTISGARH"
NIA,JANJGIR NAILA,4,"JANJGIR,CHHATTISGARH"
AKT,AKALTARA,4,"STATION ROAD, AKALTARA 495552, DIST. JANJGIR CHAMPA,CHHATTISGARH"
BSP,BILASPUR JUNCTION,8,"JN POINT APR/R/CPH, SECR HQ, NR WIRLESS COLONY, TARBAHAR CHOWK,BILASPUR,CHHATTISGARH"
BYT,BHATAPARA,4,"STATION ROAD, SADAR BAZAR, BHATAPARA, DIST - BALODA BAZAR,CHHATTISGARH"
TLD,TILDA,3,"BANJARI RD,CHHATTISGARH"
R,RAIPUR JUNCTION,7,"STATION ROAD, RAIPUR,CHHATTISGARH"
BPHB,BHILAI POWER HOUSE,3,"GARAGE ROAD, SECTOR 1, BHILAI,CHHATTISGARH"
DURG,DURG JUNCTION,6,"RAILWAY COLONY, DURG - 4910001. JUNCTION FOR G/R/DRZ LINES.,CHHATTISGARH"
RJN,RAJ NANDGAON,3,"NH 6, RAJNANDGAON,CHHATTISGARH"
DGG,DONGARGARH,4,"NH 6, DONGARGARH,CHHATTISGARH"
AGN,AMGAON,3,"AMGAON, GONDIA,MAHARASHTRA"
G,GONDIA JUNCTION,7,"JUNCTION PT. BALAGHAT-DURG-NAGBHIR-TUMSAR ROAD RAIL TOLI, GONDIA 441601,MAHARASHTRA"
TRO,TIRORA,3,"TIRORA, DIST GONDIA,MAHARASHTRA"
TMR,TUMSAR ROAD JUNCTION,5,"TUMSAR ROAD ,STATION TOLI, DISTT. BHANDARA,MAHARASHTRA"
BRD,BHANDARA ROAD,3,"STATE HIGHWAY 252 BHANDARA DISTRICT,MAHARASHTRA"
KP,KAMPTEE,3,"NATIONAL HIGHWAY 7, LAKAD GANJ, KAMPTEE,MAHARASHTRA"
AJNI,AJNI,3,"NEAR DNC COLLEGE, HUMPYARD ROAD, AJNI, NAGPUR 440003,MAHARASHTRA"
WR,WARDHA JUNCTION,4,"MSH 3, JN PT - NGP/BD/BPQ, WARDHA 442001,MAHARASHTRA"
PLO,PULGAON JUNCTION,3,"SH243, PULGAON,MAHARASHTRA"
DMN,DHAMANGAON,2,"SH237, DHAMANGAON,MAHARASHTRA"
CND,CHANDUR,2,"RLY STN RD, CHANDUR RLY,AMRAVATI DISTT,MAHARASHTRA"
BD,BADNERA JUNCTION,4,"JN. PT. - NGP/BSL/AMI/NRKR, NAYI BASTI, BADNERA ,AMRAVATI 444701,MAHARASHTRA"
MZR,MURTIZAPUR JUNCTION,4,"JN. PT. - BD/AK/ELP/YTL, TANGACHUK RD, MURTAJAPUR,MAHARASHTRA"
AK,AKOLA JUNCTION,7,"JN.POINT - BSL/KNW/BD/PAU, RAMDASPETH, AKOLA-444001,MAHARASHTRA"
SEG,SHEGAON,2,"NEAR PANCHAYAT SAMITI, SHEGAON DIST BULDANA 444203,MAHARASHTRA"
JM,JALAMB JUNCTION,3,"JALAMB-MATARGAON RD, JALAMB DIST BULDANA,MAHARASHTRA"
NN,NANDURA,2,"NH 6, NANDURA,MAHARASHTRA"
MKU,MALKAPUR,2,"SH 176, MALKAPUR,MAHARASHTRA"
BSL,BHUSAVAL JUNCTION,8,"JN. PT. AK/JL/KNW , NEAR MSRTC BUS STAND, BHUSAVAL 425201,MAHARASHTRA"
DXG,DHARANGAON,2,"SH185, DHARANGAON,MAHARASHTRA"
DDE,DONDAICHA,2,"SH 6, DONDAICHA,MAHARASHTRA"
NWU,NAVAPUR,3,"NATIONAL HIGHWAY 6, NAVAPUR,MAHARASHTRA"
VYA,VYARA,2,"SH 171, VYARA,GUJARAT"
MID,MADHI,3,"SH 5, MADHI,GUJARAT"
BIY,BARDOLI,2,"NEAR BARDOLI SUGAR FACTORY BARDOLI,GUJARAT"
UDN,UDHNA JUNCTION,3,"TEL: 0261-2277208,OPP TO RAILWAY BRIDGE ,ROAD NUMBER 0, UDHNA 394210,GUJARAT"
MAN,MANINAGAR,2,"PUNIT MAHARAJ RD, MANINAGAR, AHMADABAD,GUJARAT"
PURI,PURI,8,"BAULA MATHA SAHI, RED CROSS ROAD, PURI,ODISHA"
SIL,SAKHI GOPAL,4,"RAILWAY STATION ROAD, SAKHIGOPAL, DIST - PURI 752014,ODISHA"
KUR,KHURDA ROAD JUNCTION,7,"STATION ROAD RD, JATANI, KHORDHA,ODISHA"
KAPG,KALUPARA GHAT,1,"NATIONAL HIGHWAY 5, CHANDESWAR,ODISHA"
BALU,BALUGAON,4,"BANPUR-BALUGAON RD, BALUGAON, KHORDHA DISTRICT, 752030,ODISHA"
KIT,KHALLIKOT,3,"NH 5, KHALLIKOT,ODISHA"
CAP,CHATRAPUR,3,"SH 36, CHATRAPUR,ODISHA"
BAM,BRAHMAPUR,4,"STATION ROAD, BIJIPUR, BRAHMAPUR,ODISHA"
PSA,PALASA,3,"PALASA STATION RD, RAILWAY QUARTERS, KASIBUGGA,ANDHRA PRADESH"
CHE,SRIKAKULAM ROAD,4,"PH NO- 08942-287222,AMADALAVALASA ,SRIKAKULAM ROAD,ANDHRA PRADESH"
VZM,VIZIANAGARAM JUNCTION,5,"08922-225510, BUS STAND RD, BALAJI NAGAR, VIZIANAGARAM,ANDHRA PRADESH"
VBL,BOBBILI JUNCTION,2,"RAILWAY STATION RD, BOBBILI,ANDHRA PRADESH"
PVPT,PARVATIPURAM TOWN,2,"PARVATIPURAM,ANDHRA PRADESH"
RGDA,RAYAGADA,3,"STATION ROAD,RAYAGADA PH.NO 06856-222407,ODISHA"
MNGD,MUNIGUDA,2,"SH 6, MUNIGUDA,ODISHA"
KSNG,KESINGA,1,"NH 201, KESINGA,ODISHA"
TIG,TITLAGARH JUNCTION,3,"JN PT VZM/JSG/R,NH 217, TITLAGARH,ODISHA"
KBJ,KANTABANJI,2,"BOLANGIR,ODISHA"
KRAR,KHARIAR ROAD,2,"NATIONAL HIGHWAY 217, JONK,ODISHA"
BGBR,BAGBAHRA,2,"NATIONAL HIGHWAY 217, BAGBAHRA,CHHATTISGARH"
MSMD,MAHASAMUND,2,"NATIONAL HIGHWAY 217, MAHASAMUND,CHHATTISGARH"
BBS,BHUBANESWAR,6,"TEL: 0674-2532233, MASTER CANTEEN CHOWK, BHUBANESHWAR,ODISHA"
DNKL,DHENKANAL,2,"NATIONAL HIGHWAY 42, DHENKANAL,ODISHA"
TLHR,TALCHER,3,"SUB-DIVISION ANGUL DISTRICT,ODISHA"
ANGL,ANGUL,3,"RAILWAY COLONY, ANGUL TOWN, DIST - ANGUL 759143,ODISHA"
BONA,BOINDA,2,"STATE HIGHWAY 62,ODISHA"
RAIR,RAIRAKHOL,2,"SH 24,ODISHA"
SBPD,SAMBALPUR ROAD,3,"SAMBALPUR ROAD STATION, MODIPADA, SAMBALPUR 768002,ODISHA"
SBP,SAMBALPUR JUNCTION,3,"FARM RD, SAMBALPUR,ODISHA"
HKG,HIRAKUD,3,"NH 6, BURLA,ODISHA"
BRGA,BARGARH ROAD,3,"BARGARH ROAD,ODISHA"
BLGR,BOLANGIR,3,"BOLANGIR,ODISHA"
MTJ,MATHURA JUNCTION,10,"JUNCTION POINT - NDLS/AWR/VRBD/KSJ/AGC/BTE/AH , MATHURA,UTTAR PRADESH"
